status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,airline_name,NPS_score
✅ Trip Verified ,Boeing 777-200LR,Solo Leisure,Economy Class,Delhi to San Francisco,2024-05-01,2.0,4.0,4.0,1.0,1.0,4.0,3,no,4,"  I boarded DEL-SFO flight at 4am on May 26, 2024. My Seat is 30A. Entertainment System that tucked into the armrest is stuck within the armrest in spite of flight crew trying to get it out of the armrest. The entertainment system in all nearby seats did not work either. Imagine sitting on a 16 hours flight without an entertainment system. The bathrooms are dirty for most of the flight.",air-india,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Mumbai to New York,2024-05-01,3.0,4.0,3.0,1.0,1.0,1.0,1,no,1,"  Horrible experience during check in at Mumbai Airport on May 03, 2024 for flight AI 119 to New York. Air India crew members are lack of knowledge to process boarding passes for seafarers. Another horrible thing that the manager was confused about required documents, not cooperative at all and was demanding unnecessary documentation like DG shipping B1 visa (such a document does not exist). I was denied to get boarding pass and it took almost 1 hour to convince him that B1/B2 are USA tourists visas and seafarers joining ships required only C1/D visa. Please note as a seafarer I’m flying for almost 20 years and never had such a complication and harassment at check in counter. Kindly arrange training sessions for your crew. Emigration officer was very satisfied with my provided documentation and never asked something horrible like Air India Staff. ",air-india,Detractor
Not Verified ,,Solo Leisure,Economy Class,London to Chennai via Mumbai,2024-05-01,1.0,2.0,2.0,1.0,1.0,1.0,1,no,2,"   Pathetic service, never expected this from Air India. International flight from London to Mumbai got delayed, missed my Connecting flight from Mumbai to Chennai. surprise to know that baggages are self transfer no where highlighted in ticket or boarding pass. No proper coordination or guidance, made me to go up and down, no proper directions or information. Pathetic service to international passengers, never experienced this with any other airlines while traveling from London to Chennai. Travel duration from London to Chennai is 13 hours, because of this awful service extended to 19 hours, no compensation or not even lounge is provided to take rest, people with kids and elderly people struggling like anything. Irresponsible management. Never will travel with you again, and will not recommend to any of my acquaintance for international or domestic travel. ",air-india,Detractor
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Mumbai to Mangalore,2024-05-01,4.0,5.0,3.0,,,5.0,3,yes,8,"  A short, on-time and comfortable flight with Air India, the cabin crew were pleasant and helpful, the aircraft was dated but without any major issues. The toilets were kept clean in the journey. However, the snack service was not up to par with a tasteless sandwich served as breakfast with a similarly tasteless cupcake. This is one area in which the pre-takeover Air India did a good job, but catering has been a let-down on the admittedly few flights I have taken with Air India post take-over.",air-india,Promoter
✅ Trip Verified ,B787 / A350,Couple Leisure,Business Class,Dubai to Sydney via New Delhi,2024-05-01,1.0,4.0,1.0,1.0,,1.0,1,no,1, Every service needs deep review. Seats not reclining even in long haul flights (12 hr flight). Food served in business class do not have items mentioned in flight menu including basic snacks. Food served in business class with cutlery wrapped in plastic bags. Cloth napkin replaced by one single tissue paper. Quality & quantity of food served can not compared even with a road side dabha in India. Toilets lack basic minimum sanitization. Curtains on the asle appear as if they were never cleaned. Inflight entertainment can't be even spoken about. Feel sorry for the on-board crew what they have to go through every day. Sorry state of affairs. Never ever Air India for me.,air-india,Detractor
✅ Trip Verified ,,Couple Leisure,Economy Class,Kolkata to Bangalore,2024-01-01,1.0,1.0,,,,1.0,1,no,1," They started charging for carrying a laptop bag with laptop in it which is not the norms, airlines around the world allows you to carry laptop without any problem.",air-india,Detractor
✅ Trip Verified ,,Family Leisure,Economy Class,Paris to Delhi,2024-04-01,2.0,,,,,1.0,1,no,1,"  The worst company ever. During the check-in the visa was confused with a visa issue. The issue could be managed. A the end we lost 1000 USD, 2 flights. The customer care make a fake story to avoid refund. ",air-india,Detractor
✅ Trip Verified ,,Family Leisure,Economy Class,Washington to Kathmandu,2024-04-01,1.0,3.0,1.0,,,1.0,1,no,1," Customer Service is the worst. Screen in 14hrs flight was not working, I was told 95% of screen were out. So this is an on going issue. Seats look dirty, very dirty, bought couple of seats ($20 and $50) because Air India website was showing bigger leg space- that was a lie. There wasn't. They gave all of us a Lunch voucher because flight was delayed by 5/6 hours (fuel issue) but the voucher was not accepted by a restaurant inside airport so I paid out of my pocket. They said they'll refund the amount but never heard back from them after I send them my information. Made us travel by bus for 5 hours and lost my luggage in the process. I am even getting angry recalling and trying to put this review together, thats how bad my experience was with Air India. So I would suggest don't fly them even if the tickets are for free.",air-india,Detractor
Not Verified ,,Business,Business Class,Toronto to Delhi ,2024-05-01,1.0,1.0,1.0,2.0,2.0,1.0,1,no,1,"   Toronto-Delhi on May 3 2024, Business class. Worst experience ever from the flag carrier airline of India. Business class looks like Premium economy of other airlines. Foot rest was stuck. Separation between 2 adjacent seats was for namesake, never able to put it properly. Once boarded, we were served a vegetarian roll. Said they are having catering issues and only boxed items are available. No notification regarding same was given to us until boarded the flight. Later came food in boxes with Vistara label (a sandwich, Haldiram packet, chocolate, granola bar). Vistara label is indicative that the airline was aware of the issue earlier. Why passengers were not notified either by email/SMS. No beverages were served. Had to ask for a coffee. Also had to ask the hostess to have the cup removed after 45 min. Lacking basic standards of customer service. Towards the end of trip, head of crew came to apologize for the catering issue. Return trip on 5/12 was in Economy class. No blankets were provided at seat. Audio-Visual system never worked. Should say there was food. Agents at gate were literally looting travellers by weighing cabin and personal baggage and charging for items bought from Duty paid stop. They had the most arrogant answers for questions or complaints Anyone travelling is doing it as it may be an emergency trip and cannot find tickets else were. Given a chance please avoid Air India.",air-india,Detractor
Not Verified ,,Business,Business Class,Toronto to Delhi,2024-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   Booked in business and such a pathetic service and attitude of the crew. They didn’t have food in business as they had issues with catering and they knew it before they left India. All the business class passengers were handed out a box lunch, which had Vistara label. The Vistara label on the box indicate that they had prior knowledge about the catering issue and contained a soggy veg sandwich a chocolate and cookie for a 15 hr non-stop flight. The crew’s attitude was even embarrassing and no one even bothered to take the coffee cup back and it was done after a request was made and it took them 90 minutes to take the cup. Not sure what the airline is up to and is a shame for star alliance in general. Will never fly again.",air-india,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Melbourne to Hyderabad via Delhi,2024-05-01,1.0,3.0,1.0,1.0,1.0,1.0,2,no,1,"  My recent experience with Air India on a long-haul flight from Melbourne to Hyderabad was nothing short of a nightmare. From start to finish, the journey was marred by a series of disappointments and discomforts that left me deeply dissatisfied.  The food served was not only of poor quality, but it was also presented in a manner that suggested utter disregard for basic hygiene standards. Packages were not just messy inside but also had spills all over the exterior, making the already unappetizing meals even less appealing. To add insult to injury, the taste was abysmal, and the quality of desserts was subpar, failing to meet even the most basic expectations. Moving on to the condition of the aircraft itself, the state of the toilets was deplorable. Broken toilet doors and malfunctioning facilities resulted in a pervasive stench that permeated the seating area, creating an incredibly unpleasant atmosphere for passengers. It's unacceptable to subject paying customers to such unsanitary conditions. Furthermore, the lack of inflight entertainment for a significant portion of the seats is simply inexcusable in this day and age. With technology readily available, there's no reason why passengers should be deprived of this basic amenity, especially during a lengthy 20-hour flight. Speaking of discomfort, the seating arrangements were far from satisfactory. Uncomfortable seats made the already arduous journey even more taxing, leaving passengers feeling physically strained and restless. And if the in-flight experience wasn't bad enough, the ordeal continued upon arrival at Delhi airport. The mishandling of baggage collection, with staff carelessly pulling out bags from the belt and haphazardly placing them outside, created chaos and confusion among passengers trying to locate their belongings. In conclusion, my experience with Air India was nothing short of a disaster from start to finish. The combination of poor food quality, unsanitary conditions, lack of entertainment, uncomfortable seating, and chaotic baggage handling has left me with a strong resolve never to fly with them again. It's truly disappointing to see such a renowned airline fall so far below acceptable standards, and I urge prospective passengers to think twice before considering Air India for their travels.",air-india,Detractor
Not Verified ,Boeing 777,Business,Economy Class,Mumbai to New York via Delhi,2024-05-01,1.0,2.0,3.0,1.0,1.0,1.0,1,no,1,"   This is the worst experience I’ve had flying internationally. On the first leg, the recline was broken. On the second leg, the in-flight entertainment remote was taped to the armrest because it too was broken. There is one little USB to try and charge gadgets not robust enough for my laptop. Oh, and the recline didn’t work either. For fifteen hours. Regardless, the economy seat backs are about 2 inches of hard plastic coated in musty fabric. Zero padding to be found. For fifteen hours. The extra 1” of legroom when compared to US carries doesn’t add much to the experience I’ve got to say. This is the most run-down disgusting cabin and up there with one of the more miserable flying experiences I’ve had. Find another airline. It will be worth it.",air-india,Detractor
Not Verified ,,Couple Leisure,Economy Class,San Francisco to New Delhi,2024-04-01,3.0,2.0,2.0,1.0,1.0,3.0,1,no,1,   Non-stop flight to DEL from SFO 15hrs 45 minutes had 3 toilets out of order. In-flight entertainment was broken in 75% or more of the seats. Individual reading lights were also not working. Seat-back trays on which you place food was cracking. My theory is that Indian crew possibly prefers janitors back in India to clean toilets and so possibly locks them as out of order if clogged or dirty. ,air-india,Detractor
Not Verified ,,Family Leisure,Premium Economy,New York JFK to Mumbai,2024-05-01,3.0,3.0,3.0,2.0,,1.0,3,no,2," We have booked for Premium Economy class. When we were doing online checkin 48 hrs before the flight, we could not get a reserved seat in Premium Economy. We thought that it may be a system error but when went to the airport counter, Air India personnel said that the flight did not have Premium Economy. Also the attendant was very rude. Even if they knew it a couple of days before, they did not intimated it to us. We are still waiting for the reimbursement of this change from Air India. This is not the customer service we expect.",air-india,Detractor
✅ Trip Verified ,,Business,Business Class,Delhi to London ,2024-04-01,3.0,4.0,4.0,3.0,3.0,1.0,1,no,2,"  I had a terrible customer service experience with the ground staff. They were very rude and uncooperative, lacking basic manners. It seemed like they didn’t care when I asked for the complaints procedure and policy, as no one was aware of it. After insisting, they provided a complaint book with no explanation of the procedure.",air-india,Detractor
✅ Trip Verified ,,Business,Business Class,Delhi to Mumbai,2024-04-01,,,,,,1.0,1,no,1,  Worst airline even to fly business class. Had approval to carry pet but refused to board because of excess 6kg. Worst Staff behaviour. Not helping at all.,air-india,Detractor
Not Verified ,,Family Leisure,Economy Class,Delhi to Washington,2024-04-01,2.0,3.0,3.0,1.0,1.0,3.0,2,no,2,"   I will not fly Air India. Both legs of my flight had no in flight entertainment, so 15 hours each way. My big issue is how they charge for bags being over weight. They generously give free checked bags, but they weighed my carry ons boarding the flight and said I had to pay over 10,000 rupees to board as my bags were over weight. How greedy and petty.",air-india,Detractor
✅ Trip Verified ,A320,Solo Leisure,Economy Class,Mumbai to Kolkata,2024-04-01,5.0,5.0,4.0,,,5.0,5,yes,8,"  For this early morning flight, I had opted to show up on the weekend hoping that the load on this flight would not be as full as they normally would be over the weekends. The check in supervisor was kind and thankfully there were couple of seats available where I could get a seat onboard. The boarding started on time and the crew onboard was pretty friendly. For breakfast had opted for the egg omelet with hash browns which was fine along with tea. Arrival into CCU was also good and timely. Baggage retrieval was also good. Overall a good flight.",air-india,Promoter
✅ Trip Verified ,Boeing 787-8,Solo Leisure,Economy Class,Paris to Delhi,2024-04-01,4.0,4.0,2.0,2.0,,4.0,4,yes,7,"  Check in smooth, Staff at CDG airport Paris were cooperative. Boarding smooth and easy Crew. Average, not as pleasing as I would expect from India. Needs to improve to make the travellers feel cared. Meal too hot to my taste.  Desserts were of poor quality. IFE touch screen was not working. No WiFi onboard. Meal didn't fully match the menu provided on Air India mobile app. Smooth Transfer at Delhi",air-india,Neutral
Not Verified ,,Family Leisure,Economy Class,Tel Aviv to Bangkok via Delhi,2024-04-01,1.0,1.0,2.0,1.0,1.0,1.0,1,no,1," Air India: A Nightmare of Unresponsive Customer Service. Dealing with Air India has been nothing short of a nightmare. While they did answer my initial calls, their promise of a callback was nothing but empty words, leaving me stranded without assistance. After over ten phone calls and spending more than ten hours on hold, they finally claimed to have found a flight for me and confirmed the booking. However, it turned out to be a lie. They falsely claimed that EL AL had canceled their part of the flight, when in reality, they hadn't. This deceitful behavior only added to the frustration of the situation. Their failure to provide an alternative flight after canceling mine, as required by law, further compounded the issue. Despite repeated attempts to seek help, I was met with indifference and a lack of solutions. Air India's customer service is simply unacceptable. Save yourself the hassle and choose an airline that values its customers.",air-india,Detractor
Not Verified ,,Family Leisure,Economy Class,Mumbai to Delhi,2024-04-01,2.0,3.0,2.0,2.0,1.0,2.0,2,no,1,"   Absolutely ridiculous customer service! Never fly Air India. After they canceled my flight and provided me with an unsuitable solution on a different day they also had a gut to demand money because of fare differences and when I didn't agree and wanted to speak with somebody senior they disconnected my call. Better go for a proper low cost, at least you know what to expect",air-india,Detractor
Not Verified ,,Family Leisure,Economy Class,London to Chennai,2024-04-01,2.0,1.0,1.0,1.0,1.0,2.0,1,no,1,   Absolutely pathetic. No working entertainment or even a working overhead light for a 9 hour flight! Only vodka or whiskey to drink. No diet coke. Cabin crew ok. The first and last time I ever use Air India! ,air-india,Detractor
Not Verified ,,Business,Economy Class,Auckland to Napier,2024-08-01,4.0,5.0,,,,5.0,1,no,3,  Air New Zealand domestic service is getting worse by the day. Flights constantly canceled at the last minute. Tonight is the 3rd time in a row I have ended up staying an extra night because of all manner of 'weather' and 'engine trouble' excuses. If there was any alternative I would definitely be using it.,air-new-zealand,Detractor
✅ Trip Verified ,ATR-72,Family Leisure,Economy Class,Napier to Auckland ,2024-06-01,3.0,4.0,,,,1.0,1,no,1,"   Air New Zealand bumped us off our flight on the 30/06/2024. We were on time, but they made us adjust our luggage saying we were over weight. Which we weren't as we had just weighed our bags. The Air NZ CSA at check in got our flight number wrong several times as well. She wouldn't listen. They could tell we had a connecting international flight so they charged us $100 NZ extra to change. We had no choice but to pay as they hold the monopoly on regional air travel. Do not fly with Air NZ. The Customer Communication and Engagement Specialist told later after our holiday us that we would get a refund and that they would make it right later on which was a lie. In the end they just kept saying this until they finally said the $100 charge was valid. She did nothing to address the customer service agent rude unprofessional behaviour. From now on we will drive to Auckland and spend the money we would have spent on flights on a few nights in an up market Hotel and on car storage. I estimate that we would have $400 in change still. I will never fly Air New Zealand again. Garbage militant service.",air-new-zealand,Detractor
Not Verified ,,Family Leisure,Economy Class,,2024-07-01,,,,,,,1,no,1,"   Air NZ sold a connecting flight then didn’t wait for it to arrive and left 30 minutes before it landed. My mum missed her international flight and they wouldn’t help her over the phone and said it was United’s problem. United referred her back to Air NZ where she bought the tickets originally. Now she’s stuck for multiple nights at the airport with no one willing to help her rebook and they aren’t even covering the full accomodation costs. Such ugly customer service from air New Zealand, I urge everyone to look elsewhere when booking.",air-new-zealand,Detractor
Not Verified ,,Solo Leisure,Economy Class,Dunedin to Brisbane via Auckland,2024-06-01,3.0,3.0,3.0,4.0,3.0,4.0,4,yes,10,"  Missed my flight due to my own stupidity. The ticket sales desk operators were both professional and very sympathetic. Thank-you Rahjiv, you're an absolute credit to your company and thanks Air New Zealand for the smooth rebooking.",air-new-zealand,Promoter
Not Verified ,,Solo Leisure,Business Class,Auckland to Kerikeri,2024-06-01,2.0,2.0,1.0,1.0,3.0,2.0,2,no,1, Absolutely hopeless cancellation then delays. Will never fly them again not in this lifetime. Needs a management restructure and a big clean out of top end.,air-new-zealand,Detractor
Not Verified ,Boeing 789,Solo Leisure,Economy Class,Auckland to Tahiti,2024-06-01,5.0,5.0,1.0,,5.0,5.0,1,no,2," I put in a bid for an upgrade using their “one up” program. On the day of travel they emailed me to say my bid was not successful. However, they still withdrew the funds from my account for the upgrade. Now I am in a position where I am asking an airline to make a refund. We all know how difficult and time consuming that is.",air-new-zealand,Detractor
✅ Trip Verified ,,Solo Leisure,Economy Class,Auckland to Sydney,2024-06-01,2.0,2.0,1.0,1.0,2.0,1.0,1,no,1,  These guys shouldn’t be allowed to use New Zealand. It’s embarrassing and tricks New Zealanders into having brand loyalty to them. There’s not a single aspect this airline does well. Never thought the day would come when I would say this but you’re better off saving some money and flying Jetstar.,air-new-zealand,Detractor
✅ Trip Verified ,,Business,Economy Class,Gold Coast to Auckland,2024-05-01,3.0,1.0,3.0,5.0,5.0,2.0,2,no,3,"  I travel often and fly with many airlines. Air New Zealand has to be the worst in condescending service and unnecessary process. I’m writing this review after 5 flights with them in the last 10 days (and unfortunately another 3 to go). The boarding process is peculiar with word choices such as “you can board when invited”. To be clear I wait till I’m called and don’t understand the notion of people jumping queues. But the word choice of invite is the first passive aggressive experience as part of the flight experience A week ago I flew Air NZ and for the first time in my life I was reprimanded by the hostess for not watching (I was listening) the in flight safety. I told her I’m listening and she said “well you should watch” Checking in today my bag was 32.7kg. I appreciate there needs to be a limit, but there’s no discretion. I’m flying business class for a three week trip. I then removed a few items and the scale said 32.0kg. I was then told it has to be under 32 which necessitated me to refute that point. Grudgingly, the person then put the case through and gave me the *sigh* treatment. Getting onto the flight, the first thing the host says is the incoming flight’s passengers “ was a 9 out of 10, so you have a high standard to live up to”. Whilst I 100% understand this was meant in humour, it’s symptomatic of an airline that doesn’t want to serve. These experiences alongside poor food on the flights, no pyjamas on overnight business and frankly the weirdest business class layout with no privacy makes this an airline to avoid. Unless of course you want to feel like you’re being done a favour for something you paid for. It’s relatively good value for money (at prices that are still stubbornly high) but you need to take into consideration the places they skimp on. Compares very poorly to leaders in the industry such as Qatar, Emirates and Singapore Air.",air-new-zealand,Detractor
Not Verified ,,Business,Economy Class,Auckland to Melbourne,2024-05-01,3.0,2.0,1.0,1.0,3.0,1.0,1,no,1,   Highly unreliable schedule with long delays which is my first priority for traveling. This business has wasted many hours of my time over the past year and always broke my plans during trips. They will be my last choice in future travels.,air-new-zealand,Detractor
✅ Trip Verified ,Boeing 787,Solo Leisure,Premium Economy,Tokyo to Auckland,2024-05-01,4.0,4.0,5.0,5.0,,4.0,5,yes,8,"  A good, easy flight in Premium Economy. Seat was spacious and comfortable. Food was good - we were served dinner and breakfast, and each meal consisted of a choice of 3 main dishes, along with various side dishes - they were plentiful and generous, and the quality was excellent.  There was a choice of 5 wines (possibly the same selection as Economy Class) served in glassware. Service was polite and efficient, but not particularly warm or energetic - but still, nothing to complain about. The IFE was excellent - a really good selection of new movies, including some great 'alternative' cinema. A good flight, and departed and arrived on time.",air-new-zealand,Promoter
✅ Trip Verified ,Boeing 787,Solo Leisure,Economy Class,Denpasar Bali to Auckland,2024-03-01,4.0,1.0,2.0,4.0,3.0,3.0,3,no,5,"  Air hostess totally ignored myself and guy behind me, spent more time looking at the carpet.  On the other route hostess were too busy, so much for touch screen ordering, if it doesn't work then why have it. The hostess often walked pass going to forward cabins with drinks etc. Seats were fine and plane was on time",air-new-zealand,Detractor
✅ Trip Verified ,,Family Leisure,Economy Class,Singapore to Auckland,2024-05-01,3.0,1.0,4.0,5.0,5.0,5.0,3,yes,6,"  I am using the Air New Zealand from past 20 years. One of the cabin crew was very rude when requested for something missing in my plate, she treated me very disrespectful and told me they carry limited food on the plane, which I understand.  When I requested to change my son's food, she said no, no sorry or thank you. I felt like she treated me like first time I am on plane. Rest of the staff fine and they understand the NZ level of Customer service. ",air-new-zealand,Neutral
✅ Trip Verified ,Boeing 777-300 ER,Business,Business Class,Sydney to Los Angeles via Auckland ,2024-05-01,4.0,3.0,4.0,2.0,3.0,2.0,3,no,6,"   Whilst being at the front of the plane with a flat bed is always much better than otherwise, be prepared for the slightly unpleasant oddness that is biz class on Air New Zealand. In short. Because of the herringbone forward facing layout. You look at other people's feet whilst seated and b. If you have a window seat you have to turn your head 120 degrees to see out of the window. On this flight they gave socks as a gift in the business cabin One could assume this is a mitigation strategy for all the visible feet. Flat bed is very comfortable. Some staff seem overly busy and rushed, later in the flight things seemed better from a service perspective, however the little things i have come to expect in business class arent here. Such as a personal welcome and staff knowing my name. Food, Surprisingly good. Wine unsurprisingly, excellent.",air-new-zealand,Neutral
✅ Trip Verified ,,Couple Leisure,Economy Class,Auckland to Melbourne,2024-03-01,2.0,1.0,,1.0,2.0,1.0,1,no,1,"  I had a concerning experience with Air New Zealand. It seems they prioritize cost-cutting over customer satisfaction, as they will try to switch you to a cheaper flight whenever possible. I was put in this situation and had no choice but to accept the change if I wanted to get back home. Moreover, I received poor treatment from their staff, which was disappointing and almost discriminatory. Their customer service did not address my concerns adequately. I suggest avoiding Air New Zealand and suggest looking at other airlines like Qantas or Jetstar.",air-new-zealand,Detractor
✅ Trip Verified ,A330,Family Leisure,Economy Class,Sydney to Christchurch,2024-03-01,2.0,1.0,1.0,2.0,1.0,3.0,1,no,1,"  I travelled with Air Newland a number of times in the past and was generally happy with their service. But I was very disappointed this time when I took my parents to South Island. We paid over A$700 for return tickets, during the 3 hours flights, we had to buy the food and drink ourselves. It looks that Air NZ is so desperate for money and greedy. In addition, the services provided were just as the budget airlines. Never fly with them again!",air-new-zealand,Detractor
✅ Trip Verified ,,Couple Leisure,Economy Class,Rarotonga to Sydney via Auckland,2024-02-01,5.0,5.0,5.0,5.0,,5.0,4,yes,9,"  A comfortable flight in a well appointed aircraft. Great range of TV and movies. Staff professional and regularly offering water. We had paid more than the Jetstar offering and you do get what you pay for. We had booked “the works” meaning meals and entertainment were included. Staff were visible, great in seeing who did not and who did have the works",air-new-zealand,Promoter
✅ Trip Verified ,,Solo Leisure,Economy Class,Melbourne to Auckland,2024-01-01,3.0,4.0,4.0,2.0,4.0,1.0,3,no,2,"  5.5 hour delay. Poor communication. No vouchers offered. Customer service only offered apologies, which is acceptable for 2 hour delay but this is ridiculous",air-new-zealand,Detractor
Not Verified ,,Family Leisure,Economy Class,Auckland to Tokyo,2024-01-01,2.0,2.0,2.0,3.0,1.0,1.0,1,no,3," 
Unfortunately again I am disappointed. Flight to Tokyo was delayed due to technical condition of the plane. Return- cancelled with no support (no alternative flight, explanation, etc). Helpline not working. Eventually I managed to book a flight with Quantas to avoid being stuck in Tokyo on my own cost - good I have insurance. Never again as in previous flights to NY ANZ did similar thing.",air-new-zealand,Detractor
Not Verified ,,Family Leisure,Economy Class,Auckland to GIsborne,2024-01-01,1.0,2.0,,,,1.0,1,no,1," My son was on NZ8161 to Gisborne on 15/1/24. We PAID extra as he was an unaccompanied minor - Harlan Pere. Hes 11 [his brother was travelling with him but he is 13]. Checked in for the flight at special assistance as normal. Flight was slightly delayed. Then flight was called. Lined the boys up in the line but was very surprised as all their previous flights - [a couple of times a year for the last several years] unaccompanied minors have been called first. EVERY SINGLE TIME! When the boys got to the gate and swiped their boarding passes, that's when the gate agent realised there was a minor on the flight. Kelly, the most unprofessional, rude and disgustingly inept gate agent I have ever met, then decided the boys needed to stand to the side and be boarded last. THIS HAS NEVER HAPPENED BEFORE! When we queried why they weren't called first Kelly informed me that Air NZ never calls for unaccompanied minors before a flight and she had never done this in her 8 years working there. THIS IS A LIE! When I asked to speak to a supervisor she said she was the supervisor. When I asked for someone higher up to make a complaint Kelly told me she was the highest person. When I asked for the name of her supervisor so I could make a complaint she refused to give me this information as well as her last name. All of this was getting very loud - she was just as loud, and I had to tell her several times to listen to what I was saying and not talk over me. At this stage there is approx 200 people in the AIR NZ departure lounge listening to this heated discussion. As well as the boys who were confused why there were being held back. No one explained it to them from Air NZ. I went back to the Special assistance desk and they pointed me to the Premium check in desk and I spoke to Marianne - Team Manager - who listened and confirmed that Kellys behaviour, attitude and customer service was abysmal. Several people I don't know came up to me after and said it was shocking and I should complain about Kelly and her incompetent service. Mariana did her best to listen but Kelly is disgraceful. I have paid extra for this service, been lied to, been yelled at, been dismissed and made to feel like we were the issue as we didnt bring him up sooner when we were never informed by Special Assistance this was now a requirement. If the policy has changed [which Mariana confirmed hadn't] or Kelly didn't pick up there were unaccompanied Minors on the flight all she had to do was apologise and say a mistake was made. Not flat out argue and lie in front of 200 people that she was right and MINORS HAVE NEVER BEEN called in her 8 years doing the job.",air-new-zealand,Detractor
